isotype,phi_S_n,phi_A_n,phi_R_n
other,0.18720006018599994,0.04388810642886791,0.2027160611401859
other,0.1101993164043173,0.06362205315268774,0.5088598742917229
other,0.03269373804169741,0.35651520376903995,0.2816016885067237
other,0.1360767514349963,0.35651520376903995,0.1149878793690531
other,0.035849472256737985,0.13863931107322508,0.5578051168438836
other,0.25473360132256084,0.08777357956135062,0.19419104328443185
other,0.14554395408011805,0.07502568358755965,0.3676842738289029
other,0.02688710419255349,0.16278609890879728,0.39932698486921286
other,0.11285021603842064,0.10222555180886596,0.3016710267667642
other,0.03269373804169741,0.19391314685253516,0.3557199569042509
other,0.20146422751839113,0.10222555180886596,0.1883687361754694
other,0.047462739955025826,0.19391314685253516,0.2145783830115738
other,0.13393068638183023,0.053306032556634346,0.6451043134619886
other,0.0775055783626199,0.08777357956135062,0.48104591048508966
IgE,0.16611958984259037,0.08777357956135062,0.588784257734517
IgE,0.1956575936692472,0.22110098419355317,0.21395835961635398
IgE,0.02373136997751291,0.23777493472362723,0.4786361553004306
IgE,0.11865684988756457,0.11890852374394999,0.40294837782677173
IgE,0.22784649713000737,0.28162094681234334,0.21048770464889774
IgE,0.08015647799672324,0.13863931107322508,0.5849669794030077
IgE,0.0416561061058819,0.16278609890879728,0.5661499388585435
IgE,0.29588487284750553,0.11890852374394999,0.37376822469972587
IgE,0.10969448182338006,0.13863931107322508,0.4077496703536014
IgE,0.0,0.31271645008661253,0.5335190249340824
IgE,0.0,1.0,0.5328448319227459
IgE,0.09808121412509223,0.10222555180886596,0.44383592001008326
IgE,0.08015647799672324,0.13863931107322508,0.5529300456684169
IgE,0.24312033362427304,0.06362205315268774,0.47426954720661535
IgE,0.22203986328086348,0.11890852374394999,0.40018514220846235
IgE,0.09808121412509223,0.23777493472362723,0.2928307447905046
IgE,0.07119410993253875,0.16278609890879728,0.3501302178119215
IgE,0.02688710419255349,0.16278609890879728,0.7105701541161108
IgE,0.18088859175591882,0.08777357956135062,0.53464781821384
IgE,0.008962368064184496,0.23777493472362723,0.5807590921903947
IgE,0.03269373804169741,0.19391314685253516,0.4211018179791679
IgE,0.31115870934177114,0.053306032556634346,0.5682324112772034
IgE,0.27215350286999257,0.13863931107322508,0.29148037784669556
IgD,0.10969448182338006,0.28162094681234334,0.37166801886156164
