lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
cotton_liberty_possible_myself_cheap_spin_erupt_casino,IGHV1-3,10,0.15339716375582915,0.0,-0.05582247250673755,5
couch_sibling_speed_theme_limb_tumble_poem_sudden,IGHV4-34,02,0.0,0.0,-1.1012001414366597,5
course_crater_peasant_riot_hurdle_pilot_hedgehog_maze,IGHV5-51,07,0.0,0.0,0.0,4
cover_stereo_message_rack_drastic_wedding_version_scrap,IGHV3-74,07,0.09924479444306886,0.43226035682555414,0.7808676869497925,6
coyote_lawsuit_library_build_cotton_clinic_sock_penalty,IGHV4-31,07,0.05348164760204562,1.2172329221690117,0.6588808216574131,4
crack_mutual_drive_agree_toddler_exile_enemy_punch,IGHV3-64D,07,0.0,1.8815227350244872,0.10265277441033349,11
craft_almost_boss_grain_acid_apology_side_filter,IGHV3-7,05,0.49462981052942934,2.529820069846269,0.6820733992522008,4
craft_boost_diagram_donkey_stereo_sibling_fit_author,IGHV3-74,02,0.0,0.0,-0.2566642591382311,4
crane_buyer_wise_wet_banner_birth_favorite_dilemma,IGHV1-3,02,0.0,0.0,-0.013847644464628717,12
crater_ugly_loud_safe_siege_aunt_angle_swim,IGHV3-72,11,0.0,1.3130349355138295,-0.03150326908997725,5
crisp_purse_enjoy_destroy_medal_can_prosper_exotic,IGHV3-13,05,0.0,0.0,-1.8297525605301677,5
critic_borrow_blame_rate_setup_ordinary_office_enlist,IGHV3-48,07,0.1286607783682062,0.0,0.5449095549932004,4
critic_lend_tragic_apart_lab_advice_blouse_shadow,IGHV3-74,02,0.545429796318215,12.423695256954796,0.23423614724211483,4
crop_crater_skill_rotate_devote_feed_rally_message,IGHV3-23,11,0.0,0.0,-0.00039934538621366755,5
cruel_approve_divorce_hello_cat_yard_gold_place,IGHV1-3,01,0.0,2.5337058000468935,0.3729144850004972,6
cruise_have_average_park_select_gauge_census_ticket,IGHV3-30,03,0.6013118097022335,7.044210324253942,0.34997181108875597,4
crystal_leaf_together_fetch_horn_cat_major_wood,IGHV3-23,07,0.07494355975852966,0.5694357217053732,-0.1208048744221264,5
cup_shuffle_moral_where_next_push_group_unable,IGHV2-5,07,0.15010800198622,0.0,-0.17490891044159174,4
curious_photo_old_husband_horror_winter_swap_oppose,IGHV3-74,03,0.0006633417430174685,0.0,-0.25755588650347594,4
current_item_move_copper_buddy_duty_arch_horse,IGHV5-51,02,0.13829759105933032,5.6257857130824265,0.799123503123136,6
current_wrestle_phrase_payment_mammal_monster_cruel_north,IGHV3-74,05,0.06427484027431993,0.4555014769120289,0.04145077340881165,11
cushion_donor_wild_stereo_upon_chalk_waste_category,IGHV4-59,02,0.0,0.0,-0.1408456776892335,4
cushion_father_sorry_luxury_casual_include_dress_arrange,IGHV1-2,02,0.0,0.9203354570818663,0.2915703787434304,4
custom_space_city_spread_chief_shiver_correct_have,IGHV3-74,02,0.054215711700225246,0.0,0.008187606366199529,10
damp_utility_mouse_slot_evoke_weird_green_iron,IGHV3-21,02,0.16155673796955583,0.0,0.2443183892294093,5
daring_balcony_tiny_vault_joy_scheme_cricket_item,IGHV3-53,09,0.08412986070719271,2.4757627992480717,0.6133594970436761,6
dash_shuffle_damp_sample_loud_duck_tattoo_noodle,IGHV3-48,11,0.0,0.0,-0.011054687325027013,7
daughter_lift_around_floor_draw_embody_buffalo_oval,IGHV3-23,02,0.0033404047911871487,0.0,-0.4376816108191315,4
debris_coconut_brain_fork_journey_simple_title_ten,IGHV3-72,07,0.497691455401708,7.306559095545083,0.5330244340202936,9
debris_control_found_desert_veteran_capable_fury_crop,IGHV3-48,09,0.0,0.0,-0.0016097335168263616,5
debris_ill_soldier_agree_inquiry_fruit_adult_novel,IGHV4-38-2,02,0.0,0.0,-0.08007294250360664,4
decline_about_sketch_want_exile_wide_fluid_number,IGHV3-53,02,0.0,0.0,-0.04368541715166363,4
deer_intact_december_popular_antique_attract_label_dismiss,IGHV3-9,09,0.007075508704841217,2.6557852738591152,0.7208998736434076,4
deliver_pole_original_recipe_glove_receive_remove_tribe,IGHV3-74,07,0.1923990107168019,0.0,0.454856373041593,7
denial_axis_load_brother_wage_dawn_work_ghost,IGHV1-18,07,0.0,0.0,-0.014234345403204784,19
denial_guitar_quarter_end_antenna_bottom_pride_mixture,IGHV3-13,02,0.0,0.0,-0.9062452881065541,4
dentist_banana_impulse_crane_busy_script_rare_vote,IGHV3-23,02,0.10443393852927282,0.0,0.20271996848968576,5
dentist_old_plunge_innocent_casual_staff_hover_ethics,IGHV1-18,07,0.0,2.1700769398658752,-0.031199428415175978,4
deny_hurt_wife_art_fit_congress_alone_embrace,IGHV3-53,11,0.0031805117395824842,0.0,-0.049955332450025924,4
depend_grief_balance_market_term_attack_cube_shell,IGHV3-53,01,0.0,36.97196722443421,0.6628794237470897,5
derive_coffee_flavor_talk_clock_stable_whisper_ridge,IGHV3-15,07,0.0,4.556031140192818,0.7280028193488339,4
desert_library_quick_upon_wink_wolf_tooth_marble,IGHV3-66,04,0.0,0.0,-0.028030690595802987,4
dice_bottom_still_erosion_agree_cable_broken_text,IGHV1-18,05,0.0,0.0,-0.014493818541433612,5
diet_solution_poverty_artist_payment_vital_chimney_security,IGHV3-7,05,0.0,0.0,-0.002650721955806734,4
dilemma_enhance_paper_seat_slot_exhaust_alert_leisure,IGHV5-51,09,0.0,0.0,-0.08109667222529349,4
dirt_forum_oxygen_tent_idle_stage_orphan_pilot,IGHV6-1,07,0.0,0.0,0.0,4
dish_pigeon_still_lab_bus_like_depth_have,IGHV1-8,01,0.0,0.0,-0.1615857135808063,4
disorder_clog_check_dutch_foot_rubber_crucial_quit,IGHV3-66,04,0.0,0.0,-0.9990522526613126,5
